time,AQI
2022-03-01 00:00:00,85
2022-03-02 00:00:00,71
2022-03-03 00:00:00,88
2022-03-04 00:00:00,93
2022-03-05 00:00:00,118
2022-03-06 00:00:00,97
2022-03-07 00:00:00,90
2022-03-08 00:00:00,113
2022-03-09 00:00:00,106
2022-03-10 00:00:00,97
2022-03-11 00:00:00,112
2022-03-12 00:00:00,162
2022-03-13 00:00:00,186
2022-03-14 00:00:00,286
2022-03-15 00:00:00,285
2022-03-16 00:00:00,192
2022-03-17 00:00:00,54
2022-03-18 00:00:00,59
2022-03-19 00:00:00,75
2022-03-20 00:00:00,88
2022-03-21 00:00:00,127
2022-03-22 00:00:00,129
2022-03-23 00:00:00,92
2022-03-24 00:00:00,66
2022-03-25 00:00:00,54
2022-03-26 00:00:00,66
2022-03-27 00:00:00,71
2022-03-28 00:00:00,70
2022-03-29 00:00:00,87
2022-03-30 00:00:00,130
2022-03-31 00:00:00,85
2022-02-01 00:00:00,44
2022-02-02 00:00:00,58
2022-02-03 00:00:00,71
2022-02-04 00:00:00,83
2022-02-05 00:00:00,47
2022-02-06 00:00:00,55
2022-02-07 00:00:00,59
2022-02-08 00:00:00,71
2022-02-09 00:00:00,92
2022-02-10 00:00:00,110
2022-02-11 00:00:00,103
2022-02-12 00:00:00,80
2022-02-13 00:00:00,143
2022-02-14 00:00:00,107
2022-02-15 00:00:00,75
2022-02-16 00:00:00,77
2022-02-17 00:00:00,79
2022-02-18 00:00:00,126
2022-02-19 00:00:00,119
2022-02-20 00:00:00,73
2022-02-21 00:00:00,41
2022-02-22 00:00:00,58
2022-02-23 00:00:00,69
2022-02-24 00:00:00,118
2022-02-25 00:00:00,94
2022-02-26 00:00:00,68
2022-02-27 00:00:00,77
2022-02-28 00:00:00,76
2022-01-01 00:00:00,85
2022-01-02 00:00:00,87
2022-01-03 00:00:00,141
2022-01-04 00:00:00,132
2022-01-05 00:00:00,151
2022-01-06 00:00:00,165
2022-01-07 00:00:00,107
2022-01-08 00:00:00,122
2022-01-09 00:00:00,167
2022-01-10 00:00:00,221
2022-01-11 00:00:00,242
2022-01-12 00:00:00,214
2022-01-13 00:00:00,169
2022-01-14 00:00:00,135
2022-01-15 00:00:00,132
2022-01-16 00:00:00,135
2022-01-17 00:00:00,128
2022-01-18 00:00:00,187
2022-01-19 00:00:00,232
2022-01-20 00:00:00,126
2022-01-21 00:00:00,96
2022-01-22 00:00:00,161
2022-01-23 00:00:00,197
2022-01-24 00:00:00,150
2022-01-25 00:00:00,196
2022-01-26 00:00:00,223
2022-01-27 00:00:00,188
2022-01-28 00:00:00,132
2022-01-29 00:00:00,167
2022-01-30 00:00:00,136
2022-01-31 00:00:00,65
2021-12-01 00:00:00,54
2021-12-02 00:00:00,53
2021-12-03 00:00:00,58
2021-12-04 00:00:00,67
2021-12-05 00:00:00,89
2021-12-06 00:00:00,76
2021-12-07 00:00:00,54
2021-12-08 00:00:00,84
2021-12-09 00:00:00,152
2021-12-10 00:00:00,213
2021-12-11 00:00:00,154
2021-12-12 00:00:00,86
2021-12-13 00:00:00,85
2021-12-14 00:00:00,104
2021-12-15 00:00:00,87
2021-12-16 00:00:00,63
2021-12-17 00:00:00,56
2021-12-18 00:00:00,59
2021-12-19 00:00:00,68
2021-12-20 00:00:00,59
2021-12-21 00:00:00,68
2021-12-22 00:00:00,113
2021-12-23 00:00:00,155
